name,post_code,city,short_name,pan,bic,bank_code
Bundesbank,10591,Berlin,BBk Berlin,20100,MARKDEF1100,011380
Postbank Ndl der Deutsche Bank,10559,Berlin,Postbank Ndl Deutsche Bank,10010,PBNKDEFFXXX,000538
OLINDA Zweigniederlassung Deutschland,10785,Berlin,"Olinda, Berlin",,QNTODEB2XXX,057478
"Revolut Bank, Zweigniederlassung Deutschland",10117,Berlin,"Revolut Bank, Berlin",,REVODEB2XXX,057801
"Treezor, Berlin",10785,Berlin,Treezor Berlin,53144,TRZODEB2XXX,057742
Klarna Bank German Branch,10115,Berlin,"Klarna Bank, Berlin",,KLRNDEBEXXX,057482
Aareal Bank,10666,Berlin,Aareal Bank,26910,AARBDE5W100,004795
Noelse Pay,10719,Berlin,"Noelse Pay, Berlin",,AFOPDEB2XXX,057532
Financiere des Paiements Electroniques NL Deutschland,10719,Berlin,FPE Deutschland,,FPEGDEB2XXX,057719
N26 Bank,10179,Berlin,N26 Bank Berlin,,NTSBDEB1XXX,056796
Swan Zweigniederlassung Deutschland,10117,Berlin,Swan Zndl Deutschland,,SWNBDEBBXXX,057732
Swan Zweigniederlassung Deutschland (Geschäftsfeld),10117,Berlin,Swan Zndl Deutschland,,SWNBDEBBXXX,057733
Holvi Payment Services Zweigniederlassung Deutschland,10967,Berlin,Holvi - Berlin,,HOLVDEB1XXX,057364
BHF-BANK,10117,Berlin,BHF-BANK Berlin,25155,BHFBDEFF100,004794
Bank für Sozialwirtschaft,10178,Berlin,Bank für Sozialwirtschaft,25013,BFSWDE33BER,000530
Bank für Sozialwirtschaft,10178,Berlin,Sozialbank Berlin,,BFSWDE33BER,056659
Bank für Sozialwirtschaft,10178,Berlin,Sozialbank Berlin,,BFSWDE33BER,056662
UniCredit Bank - HypoVereinsbank,10896,Berlin,UniCredit Bank-HypoVereinbk,22014,HYVEDEMM488,039785
UniCredit Bank - HypoVereinsbank,14776,Brandenburg an der Havel,UniCredit Bank-HypoVereinbk,22014,HYVEDEMM488,049746
UniCredit Bank - HypoVereinsbank,15711,Königs Wusterhausen,UniCredit Bank-HypoVereinbk,22014,HYVEDEMM488,049747
Berlin Hyp,10787,Berlin,Berlin Hyp,26706,BHYPDEB2XXX,037413
ABK Allgemeine Beamten Bank,10115,Berlin,ABK Bank Berlin,25686,ABKBDEB1XXX,044427
M.M. Warburg & Co (vormals Bankhaus Löbbecke),20095,Hamburg,M.M. Warburg (Löbbecke),26225,LOEBDEBBXXX,043961
North Channel Bank,55118,Mainz,North Channel Bank Mainz,26205,GENODEF1OGK,000532
Eurocity Bank,60311,Frankfurt am Main,Eurocity Bank,99084,DLGHDEB1XXX,044339
Eurocity Bank (Gf P2),60311,Frankfurt am Main,Eurocity Bank,26535,,057640
Eurocity Bank Gf GAA,60311,Frankfurt am Main,Eurocity Bank Gf GAA,,DLGHDEB1XXX,057240
EIS Einlagensicherungsbank,10178,Berlin,EIS Bank Berlin,,EIEGDEB1XXX,056711
Santander Consumer Bank,10439,Berlin,Santander Bank Berlin,29411,SCFBDE33XXX,055979
"Commerzbank, Filiale Berlin 1",10891,Berlin,Commerzbank Fil. Berlin 1,24100,COBADEBBXXX,024463
"Commerzbank, Filiale Berlin 3",10891,Berlin,Commerzbank Fil. Berlin 3,24001,COBADEBBXXX,056713
"Commerzbank, CC SP",10877,Berlin,"Commerzbank CC SP, Berlin",,COBADEFFXXX,056240
Commerzbank GF-B48,10891,Berlin,Commerzbank BER GF-B48,24148,COBADEFFXXX,055618
Commerzbank Gf 160,10891,Berlin,Commerzbank Gf 160 Berlin,24101,COBADEFFXXX,052880
Commerzbank Gf 161,10891,Berlin,Commerzbank Gf 161 Berlin,24102,COBADEFFXXX,052894
Commerzbank CC,10783,Berlin,Commerzbank CC Berlin,,COBADEFFXXX,055826
Commerzbank CC,10783,Berlin,Commerzbank CC Berlin,,COBADEFFXXX,055827
"Commerzbank, Gf Web-K",10877,Berlin,"Commerzbank Gf WK, Berlin",,COBADEFFXXX,056368
Commerzbank Service-BZ,10785,Berlin,Commerzbank Service-BZ,,COBADEFFXXX,050927
Landesbank Berlin - Berliner Sparkasse,10889,Berlin,LBB - Berliner Sparkasse,51000,BELADEBEXXX,002745
"S-Kreditpartner, Berlin",10715,Berlin,"S-Kreditpartner, Berlin",51002,SKPADEB1XXX,055974
LBS Ost Berlin,10405,Berlin,LBS Ost Berlin,,LBSODEB1BLN,046141
DekaBank,60040,Frankfurt am Main,DekaBank,,DGZFDEFFBER,004788
Pax-Bank,14005,Berlin,Pax-Bank Berlin,61335,GENODED1PA6,047622
Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ,10117,Berlin,KD-Bank Berlin,,GENODED1KDB,055270
Deutsche Bank,10883,Berlin,Deutsche Bank,27060,DEUTDEBBXXX,004787
Deutsche Bank Gf P2,10883,Berlin,Deutsche Bank,27703,,055917
Deutsche Bank Gf P2,10883,Berlin,Deutsche Bank,27700,,056400
Deutsche Bank,10883,Berlin,Deutsche Bank,21060,DEUTDEDBBER,049758
Deutsche Bank,10883,Berlin,Deutsche Bank,21703,,055916
Deutsche Bank,10883,Berlin,Deutsche Bank,21700,,056401
Deutsche Bank,10883,Berlin,Deutsche Bank,27701,DEUTDEBB101,053102
Deutsche Bank,10883,Berlin,Deutsche Bank,21701,DEUTDEDB101,053103
Postbank/DSL Ndl der Deutsche Bank,10117,Berlin,Postbank Ndl Deutsche Bank,21397,DEUTDEDBP30,057585
Postbank/DSL Ndl der Deutsche Bank,10117,Berlin,Postbank Ndl Deutsche Bank,27397,DEUTDEBBP30,057584
Postbank/DSL Ndl der Deutsche Bank,12105,Berlin,Postbank Ndl Deutsche Bank,27398,DEUTDEBBP31,057586
Postbank/DSL Ndl der Deutsche Bank,13125,Berlin,Postbank Ndl Deutsche Bank,27399,DEUTDEBBP32,057587
Deutsche Bank,10623,Berlin,Deutsche Bank,21848,DEUTDEDB110,055502
Postbank/DSL Ndl der Deutsche Bank,12105,Berlin,Postbank Ndl Deutsche Bank,21398,DEUTDEDBP31,057602
Postbank/DSL Ndl der Deutsche Bank,13125,Berlin,Postbank Ndl Deutsche Bank,21399,DEUTDEDBP32,057588
norisbank,10625,Berlin,norisbank,21431,NORSDE51XXX,053532
Commerzbank vormals Dresdner Bank Filiale Berlin I,10877,Berlin,Commerzbank Fil I Berlin,28100,DRESDEFF100,024465
Commerzbank vormals Dresdner Bank Zw A,10623,Berlin,Commerzbank Berlin Zw A,,DRESDEFFI26,046513
Commerzbank vormals Dresdner Bank Zw B,10623,Berlin,Commerzbank Berlin Zw B,,DRESDEFFXXX,046514
Commerzbank vormals Dresdner Bank Zw 55,10623,Berlin,Commerzbank Zw 55 Berlin,28101,DRESDEFF112,053527
Commerzbank vormals Dresdner Bank Gf ZW 57,10877,Berlin,Commerzbk ZW 57 Berlin,28103,DRESDEFF114,053520
Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3,10877,Berlin,Commerzbank ITKG3 Berlin,,DRESDEFFI53,054940
"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4",10877,Berlin,Commerzbank ITGK4 Berlin,,DRESDEFFI71,055157
"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5",10877,Berlin,Commerzbank ITGK5 Berlin,,DRESDEFFI72,055158
Commerzbank vormals Dresdner Bank IBLZ,10623,Berlin,Commerzbank IBLZ Berlin,,DRESDEFFXXX,044595
"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6",10877,Berlin,Commerzbank ITGK6 Berlin,,DRESDEFFI73,055159
Commerzbank vormals Dresdner Bank Filiale Berlin III,10877,Berlin,Commerzbk Fil III Berlin,28109,DRESDEFF199,000534
Commerzbank vormals Dresdner Bank ITGK,10877,Berlin,Commerzbank ITGK Berlin,,DRESDEFFI14,050474
Commerzbank vormals Dresdner Bank ITGK 2,10117,Berlin,Commerzbank ITGK 2 Berlin,,DRESDEFFI99,052938
Berliner Volksbank,10892,Berlin,Berliner VB Berlin,91001,BEVODEBBXXX,023299
Berliner Volksbank,15711,Königs Wusterhausen,Berliner VB Königs Wusterhs,91001,,044951
Berliner Volksbank,14979,Großbeeren,Berliner VB Großbeeren,91001,,044952
Berliner Volksbank,16816,Neuruppin,Berliner VB Neuruppin,91001,,044970
Berliner Volksbank,16515,Oranienburg,Berliner VB Oranienburg,91001,,044974
Berliner Volksbank,15344,Strausberg,Berliner VB Strausberg,91001,,045010
Berliner Volksbank,16792,Zehdenick,Berliner VB Zehdenick,91001,,045019
Berliner Volksbank,14547,Beelitz,Berliner Volksbank Beelitz,91001,,045734
Berliner Volksbank,14929,Treuenbrietzen,Berliner VB Treuenbrietzen,91001,,046045
Berliner Volksbank,15757,Halbe,Berliner VB Halbe,91001,,046047
Berliner Volksbank,16321,Bernau bei Berlin,Berliner VB Bernau,91001,,046058
Berliner Volksbank,16866,Kyritz,Berliner VB Kyritz,91001,,047009
Berliner Volksbank,16909,Wittstock/Dosse,Berliner VB Wittstock,91001,,047010
Berliner Volksbank,16775,Gransee,Berliner VB Gransee,91001,,047021
Berliner Volksbank,16761,Hennigsdorf,Berliner VB Hennigsdorf,91001,,048909
