group,bank_code,branch_id,bank_code_new,sic_number,head_office_bank_code,bank_code_type,valid_from,sic,euro_sic,language,short_name,name,domicile_address,postal_address,post_code,city,phone,fax,phone_code,country_code,postal_account,swift
01,100,0000,,001008,100,1,20170911,1,3,1,SNB,Schweizerische Nationalbank,Börsenstrasse 15,Postfach 2800,8022,Zürich,058 631 00 00,,,,30-5-5,SNBZCHZZXXX
01,110,0000,,001100,100,2,20170911,1,3,1,SNB,Schweizerische Nationalbank,Bundesplatz 1,Postfach,3003,Bern,058 631 00 00,,,,*30-5-5,SNBZCHZZXXX
01,115,0000,,001158,100,2,20170911,1,3,1,SNB,Schweizerische Nationalbank,Bundesverw. / Bundesplatz 1,Postfach,3003,Bern,058 631 00 00,,,,*30-5-5,SNBZCHZZXXX
08,193,0000,,001933,193,1,20121006,0,3,1,SECB,SECB Swiss Euro Clearing Bank,Solmsstrasse 83,,60486,Frankfurt am Main,69 97 98 98 0,69 97 98 98 98,++49,DE,,SECGDEFFXXX
02,202,0000,,002020,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Poststrasse 10,Postfach,8610,Uster 1,044 944 91 11,,,,*80-2-2,UBSWCHZH86N
02,202,0001,,002020,230,3,20050312,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 1,Postfach,8600,Dübendorf 1,044 824 41 11,,,,*80-2-2,
02,203,0000,,002031,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 26,Postfach,9320,Arbon,071 447 79 79,,,,*80-2-2,UBSWCHZH93A
02,204,0000,,002046,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Poststrasse 198,Postfach,7050,Arosa,081 378 79 79,,,,*80-2-2,UBSWCHZH70E
02,206,0000,,002062,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Paradeplatz 6,Postfach,8098,Zürich,044 234 11 11,,,,*80-2-2,UBSWCHZH80V
02,206,0001,,002062,230,3,20050423,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 72,Postfach,8098,Zürich,044 234 11 11,,,,*80-2-2,
02,206,0002,,002062,230,3,20050423,1,1,1,UBS CH,UBS Switzerland AG,Löwenplatz / Seidengasse 17,Postfach,8098,Zürich,044 234 11 11,,,,*80-2-2,
02,207,0000,,002078,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 39,Postfach,8180,Bülach,044 872 42 42,,,,*80-2-2,UBSWCHZH81M
02,208,0000,,002083,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Poststrasse 1,Postfach,7002,Chur,081 255 90 00,,,,*80-2-2,UBSWCHZH70A
02,208,0001,,002083,230,3,20050415,1,1,1,UBS CH,UBS Switzerland AG,Via Nova 64,Postfach,7017,Flims Dorf,081 928 86 86,,,,*80-2-2,
02,208,0002,,002083,230,3,20000407,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 14,Postfach,7130,Ilanz,081 926 15 00,,,,*80-2-2,
02,208,0004,,002083,230,3,19990422,1,1,1,UBS CH,UBS Switzerland AG,Voa principala 68,Postfach,7078,Lenzerheide/Lai,081 385 24 00,,,,*80-2-2,
02,208,0005,,002083,230,3,19990422,1,1,1,UBS CH,UBS Switzerland AG,Grossfeldstrasse 19,Postfach,7320,Sargans,081 725 47 00,,,,*80-2-2,
02,208,0006,,002083,230,3,20020524,1,1,1,UBS CH,UBS Switzerland AG,Neudorfstrasse 46,Postfach,7430,Thusis,081 632 39 00,,,,*80-2-2,
02,208,0007,,002083,230,3,20050415,1,1,1,UBS CH,UBS Switzerland AG,Via Sursilvana 18,Postfach,7180,Disentis/Mustér,081 929 59 00,,,,*80-2-2,
02,209,0000,,002099,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Promenade 48,Postfach,7270,Davos Platz 1,081 415 11 11,,,,*80-2-2,UBSWCHZH72D
02,209,0001,,002099,230,3,19990917,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 6,Postfach,7250,Klosters,081 423 38 00,,,,*80-2-2,
02,210,0000,,002106,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 11,Postfach 768,5201,Brugg AG,056 460 81 00,,,,*80-2-2,UBSWCHZH52A
02,211,0000,,002114,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Hauptstrasse 44,Postfach,3186,Düdingen,026 492 77 77,,,,*80-2-2,UBSWCHZH31A
02,213,0000,,002138,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Rorschacherstrasse 1,Postfach,9450,Altstätten SG,071 757 56 56,,,,*80-2-2,UBSWCHZH94N
02,213,0001,,002138,230,3,20000407,1,1,1,UBS CH,UBS Switzerland AG,Kirchstrasse 2,Postfach,9435,Heerbrugg,071 727 91 11,,,,*80-2-2,
02,214,0000,,002143,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Zugerstrasse 22,Postfach,8810,Horgen 1,044 728 85 11,,,,*80-2-2,UBSWCHZH88A
02,214,0001,,002143,230,3,20050415,1,1,1,UBS CH,UBS Switzerland AG,Gotthardstrasse 40,Postfach,8800,Thalwil,044 722 93 11,,,,*80-2-2,
02,214,0002,,002143,230,3,20050312,1,1,1,UBS CH,UBS Switzerland AG,Zugerstrasse 11,Postfach,8820,Wädenswil,044 783 85 85,,,,*80-2-2,
02,214,0003,,002143,230,3,20100916,1,1,1,UBS CH,UBS Switzerland AG,Churerstrasse 70,Postfach,8808,Pfäffikon SZ,055 416 37 11,,,,*80-2-2,
02,216,0000,,002167,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofplatz 3,Postfach,8853,Lachen SZ,055 451 66 11,,,,*80-2-2,UBSWCHZH88B
02,216,0001,,002167,230,3,19990422,1,1,1,UBS CH,UBS Switzerland AG,Klosterplatz,Postfach,8840,Einsiedeln,055 418 77 11,,,,*80-2-2,
02,217,0000,,002175,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Hauptstrasse 37,Postfach,8280,Kreuzlingen 1,071 677 81 11,,,,*80-2-2,UBSWCHZH82P
02,219,0000,,002191,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Rathausstrasse 11,Postfach,8570,Weinfelden,071 626 46 46,,,,*80-2-2,UBSWCHZH85B
02,220,0000,,002209,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,St. Gallerstrasse 5,Postfach,9471,Buchs SG 1,081 755 42 42,,,,*80-2-2,UBSWCHZH94P
02,220,0002,,002209,230,3,20050415,1,1,1,UBS CH,UBS Switzerland AG,Am Platz 8,Postfach,7310,Bad Ragaz,081 303 48 00,,,,*80-2-2,
02,221,0000,,002217,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Plazza Mauritius/Via Maistra 14,Postfach,7500,St. Moritz 1,081 837 70 00,,,,*80-2-2,UBSWCHZH75A
02,221,0001,,002217,230,3,20000407,1,1,3,UBS CH,UBS Switzerland AG,Plazza da Cumün,Casella postale,7742,Poschiavo,081 839 78 00,,,,*80-2-2,
02,222,0000,,002225,230,2,20150613,1,1,1,UBS CH,UBS Switzerland AG,Bahnhofstrasse 25,Postfach,8304,Wallisellen,044 877 95 95,,,,*80-2-2,UBSWCHZH83B
